InventoryID,ProjectID,CoCCode,HouseholdType,Availability,UnitInventory,BedInventory,CHVetBedInventory,YouthVetBedInventory,VetBedInventory,CHYouthBedInventory,YouthBedInventory,CHBedInventory,OtherBedInventory,ESBedType,InventoryStartDate,InventoryEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"203","79","OH-507",1,1,18,18,,,,,,,18,1,2017-10-01,,2021-06-14 09:34:08,2022-12-21 10:26:12,"424",,"42412"
"204","79","OH-507",3,1,1,2,,,,,,,2,1,2017-10-01,,2021-06-14 09:34:08,2021-06-14 09:34:08,"5",,"42412"
"205","80","OH-507",1,1,26,26,,,,,,,26,1,2017-02-01,2019-03-03,2021-06-14 09:34:08,2021-08-08 13:38:29,"28",,"42412"
"206","80","OH-507",1,1,34,34,,,,,,,34,1,2019-03-04,,2021-06-14 09:34:08,2021-08-08 13:38:35,"28",,"42412"
"207","80","OH-507",3,1,4,20,,,,,,,20,1,2011-01-01,2017-01-31,2021-06-14 09:34:08,2021-06-14 09:34:08,"5",,"42412"
"208","80","OH-507",1,1,30,30,,,,,,,30,1,2011-01-01,2017-01-31,2021-06-14 09:34:08,2021-08-08 13:38:44,"28",,"42412"
"209","80","OH-507",3,1,8,24,,,,,,,24,1,2017-02-01,2019-03-03,2021-06-14 09:34:08,2021-06-14 09:34:08,"5",,"42412"
"210","80","OH-507",3,1,6,30,,,,,,,30,1,2019-03-04,,2021-06-14 09:34:09,2021-06-14 09:34:09,"5",,"42412"
"211","81","OH-507",1,,14,14,,,,,,,14,,2011-01-01,,2021-06-14 09:34:09,2022-01-27 15:35:16,"424",,"42412"
"212","82","OH-507",3,1,4,16,,,,,,,16,1,2012-10-01,,2021-06-14 09:34:09,2021-06-14 09:34:09,"5",,"42412"
"213","83","OH-507",3,1,5,18,,,,,,,18,1,2018-08-01,,2021-06-14 09:34:09,2021-06-14 09:34:09,"5",,"42412"
"214","83","OH-507",3,1,5,14,,,,,,,14,1,2017-06-01,2018-07-31,2021-06-14 09:34:09,2021-06-14 09:34:09,"5",,"42412"
"215","83","OH-507",3,1,6,20,,,,,,,20,1,2016-10-01,2017-05-31,2021-06-14 09:34:09,2021-06-14 09:34:09,"5",,"42412"
"216","83","OH-507",1,1,2,2,,,,,,,2,1,2016-10-01,,2021-06-14 09:34:09,2021-07-19 15:42:22,"28",,"42412"
"217","83","OH-507",3,1,7,22,,,,,,,22,1,2013-10-01,2016-09-30,2021-06-14 09:34:09,2021-06-14 09:34:09,"5",,"42412"
"218","84","OH-507",1,1,52,52,,,,,,,52,1,2011-01-01,,2021-06-14 09:34:09,2021-07-07 22:54:12,"30",,"42412"
"219","85","OH-507",1,1,7,7,,,,,,,7,1,2011-01-01,2020-05-01,2021-06-14 09:34:09,2022-02-11 15:30:25,"424",,"42412"
"220","85","OH-507",3,1,9,28,,,,,,,28,1,2011-01-01,2020-05-01,2021-06-14 09:34:09,2022-02-11 15:30:39,"424",,"42412"
"1794","85","OH-507",1,1,7,7,,,,,,,7,1,2022-11-18,,2023-03-22 15:48:22,2023-03-22 15:48:22,"424",,"42412"
"1795","85","OH-507",3,1,9,28,,,,,,,28,1,2022-11-18,,2023-03-22 15:48:48,2023-03-22 15:48:48,"424",,"42412"
"221","86","OH-507",3,1,1,4,,,,,,,4,1,2011-01-01,2022-07-27,2021-06-14 09:34:09,2024-03-18 11:36:27,"227",,"42412"
"222","86","OH-507",1,1,33,33,,,,,,,33,1,2011-01-01,2022-09-27,2021-06-14 09:34:09,2024-03-18 11:36:44,"227",,"42412"
"229","89","OH-507",3,1,4,10,,,,,,,10,1,2016-10-01,,2021-06-14 09:34:09,2021-06-14 09:34:09,"5",,"42412"
"230","89","OH-507",3,1,9,26,,,,,,,26,1,2011-01-01,2016-09-30,2021-06-14 09:34:09,2021-06-14 09:34:09,"5",,"42412"
"231","90","OH-507",1,1,36,36,,,,,,,36,1,2011-12-11,2020-05-01,2021-06-14 09:34:09,2022-02-11 15:39:54,"424",,"42412"
"1796","90","OH-507",1,1,36,36,,,,,,,36,1,2023-02-01,,2023-03-22 15:49:56,2023-03-22 15:49:56,"424",,"42412"
"232","91","OH-507",3,,10,31,,,,,,31,,,2016-01-01,,2021-06-14 09:34:09,2024-04-08 14:36:34,"424",,"42412"
"233","91","OH-507",3,,10,23,,,,,,,23,,2014-12-31,2015-12-31,2021-06-14 09:34:09,2021-06-14 09:34:09,"5",,"42412"
"234","92","OH-507",1,1,13,13,,,,,,,13,1,2020-04-01,2022-04-17,2021-06-14 09:34:10,2022-04-26 18:06:39,"30",,"42412"
"235","92","OH-507",3,1,4,12,,,,,,,12,1,2011-01-01,2022-04-17,2021-06-14 09:34:10,2022-04-26 18:17:11,"30",,"42412"
"236","92","OH-507",1,1,24,24,,,,,,,24,1,2011-01-01,2020-03-31,2021-06-14 09:34:10,2021-07-20 20:40:47,"30",,"42412"
"1709","92","OH-507",1,1,26,26,,,,,,,26,1,2022-04-18,,2022-04-26 18:07:04,2022-04-26 18:07:04,"30",,"42412"
"1710","92","OH-507",3,1,4,10,,,,,,,10,1,2022-04-18,,2022-04-26 18:17:31,2022-04-26 18:17:31,"30",,"42412"
"243","95","OH-507",1,,5,5,,,,,,5,,,2011-01-01,2023-12-31,2021-06-14 09:34:10,2024-01-24 14:30:59,"27",,"42412"
"244","96","OH-507",1,1,14,14,,,,,,,14,1,2011-01-01,,2021-06-14 09:34:10,2021-08-08 13:49:54,"28",,"42412"
"247","98","OH-507",3,,8,21,,,,,,21,,,2016-10-01,,2021-06-14 09:34:10,2021-06-14 09:34:10,"5",,"42412"
"248","98","OH-507",3,,8,20,,,,,,,20,,2011-01-01,2016-09-30,2021-06-14 09:34:10,2021-06-14 09:34:10,"5",,"42412"
